Flight     | Airline                                  | Arrival Time         | Origin   | Model    | Reg
MU6788     | China Eastern Airlines                   | 2026-02-12 13:05     | JNH      | A320     | B-6799
MF8289     | Xiamen Air                               | 2026-02-12 13:10     | HGH      | A21N     | B-32G8
MU2388     | China Eastern Airlines                   | 2026-02-12 13:10     | NKG      | A319     | B-6465
ZH9203     | Shenzhen Airlines                        | 2026-02-12 13:10     | SZX      | 320      | N/A
9H8368     | Air Changan                              | 2026-02-12 13:10     | SHE      | B738     | B-1162
MU2108     | China Eastern Airlines                   | 2026-02-12 13:15     | PKX      | A20N     | B-30CX
MU2294     | China Eastern Airlines                   | 2026-02-12 13:15     | KHG      | A319     | B-6429
BK3107     | OKAir                                    | 2026-02-12 13:20     | TSN      | B739     | B-1522
9H8332     | Air Changan                              | 2026-02-12 13:30     | HUZ      | B738     | B-1483
CZ8823     | China Southern Airlines                  | 2026-02-12 13:30     | PKX      | 738      | N/A
MU2312     | China Eastern Airlines                   | 2026-02-12 13:30     | CAN      | C919     | B-919A
3U3288     | Sichuan Airlines                         | 2026-02-12 13:35     | LZY      | A319     | B-6419
GS7664     | Tianjin Airlines                         | 2026-02-12 13:35     | SQD      | E95      | N/A
TV6086     | Tibet Airlines                           | 2026-02-12 13:40     | BHY      | A320     | B-8418
MU6252     | China Eastern Airlines                   | 2026-02-12 13:45     | JJN      | A20N     | B-305Z
TV6060     | Tibet Airlines                           | 2026-02-12 13:45     | RKZ      | A319     | B-6467
ZH9278     | Shenzhen Airlines                        | 2026-02-12 13:45     | NNG      | 32N      | N/A
CZ3279     | China Southern Airlines                  | 2026-02-12 13:50     | SZX      | 738      | N/A
SC8735     | Shandong Airlines                        | 2026-02-12 13:50     | TNA      | B38M     | B-223V
MU2214     | China Eastern Airlines                   | 2026-02-12 13:55     | XMN      | A20N     | B-30DL
9H8360     | Air Changan                              | 2026-02-12 14:00     | HRB      | B738     | B-5687
MU2150     | China Eastern Airlines                   | 2026-02-12 14:00     | KWE      | A20N     | B-323Z
CZ6249     | China Southern Airlines                  | 2026-02-12 14:00     | DQA      | A320     | B-8546
MU2769     | China Eastern Airlines                   | 2026-02-12 14:00     | NKG      | A20N     | B-30ES
